C-TIIDXM-0;C-NACEIDX-0;F-UIDXNOM;F-UIDXREAL;F-BESCHIDX;F-UIDXNAB;F-UIDXNSB;F-UIDXRAB;F-UIDXRSB;F-IDXBLG;F-IDXBLGAB;F-IDXGA;F-IDXGAAB
TIIDX-202101;NACEIDX-G;72,6;76,0;97,7;76,6;87,7;80,1;90,8;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-45;71,3;72,2;98,8;77,7;91,6;78,8;93,2;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-451;73,3;74,3;99,5;78,3;87,5;79,4;88,9;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-452;67,3;68,6;98,4;74,3;87,7;75,8;89,8;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-453;70,0;71,3;99,0;73,7;91,7;75,1;94,4;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-454;31,6;32,7;90,0;32,9;63,7;34,2;65,2;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-46;72,6;77,4;97,6;76,6;88,6;81,7;93,5;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-461;78,1;80,8;97,0;81,5;90,3;84,0;91,2;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-462;62,9;74,1;96,2;66,7;89,4;78,5;105,9;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-463;74,4;75,4;96,6;78,7;88,0;79,6;89,6;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-464;80,3;80,7;98,1;84,6;90,7;84,9;91,5;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-465;95,7;97,7;99,3;100,3;95,2;102,3;97,2;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-466;71,3;73,3;98,6;75,6;89,7;77,9;93,0;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-467;65,5;75,0;97,3;69,2;84,1;79,5;95,0;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-469;69,2;74,3;97,8;69,2;69,2;74,3;74,3;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-47;73,2;75,4;97,6;74,4;81,5;76,9;84,7;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-47000;73,2;74,8;97,6;74,4;81,7;76,1;82,8;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-47001;94,1;96,9;98,6;95,5;102,6;98,5;105,3;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-47002;56,5;57,7;96,9;58,0;68,1;59,3;67,7;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-471;94,1;97,1;98,7;95,5;102,7;98,5;104,5;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-4711;95,6;98,7;98,9;96,9;102,9;100,1;107,3;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-4719;69,1;71,2;96,4;69,3;77,6;71,4;78,5;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-472;85,5;86,5;97,0;87,2;96,3;88,3;97,5;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-473;74,6;85,0;97,6;75,5;83,2;85,9;92,1;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-474;67,7;69,6;99,9;69,4;64,9;70,9;68,0;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-475;43,7;45,0;97,2;45,8;65,8;47,5;65,0;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-476;35,1;34,4;97,1;35,0;28,2;34,3;28,3;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-477;59,6;60,6;96,8;60,6;70,4;61,8;70,1;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-478;68,7;69,7;93,3;68,7;99,4;69,7;100,6;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-479;100,7;103,9;94,4;104,2;104,7;107,8;105,4;0,0;0,0;0,0;0,0
TIIDX-202101;NACEIDX-4791;103,4;106,6;92,2;107,2;106,8;110,9;106,8;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-G;86,8;90,1;98,2;87,3;95,9;90,7;99,5;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-45;90,4;91,7;98,9;90,8;100,0;92,1;101,1;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-451;92,4;93,7;99,5;93,2;100,7;94,6;102,2;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-452;86,3;87,8;98,4;86,6;96,3;88,1;98,2;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-453;83,7;84,9;99,1;84,5;100,3;85,7;102,2;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-454;83,6;84,8;93,5;84,4;107,2;85,6;107,7;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-46;83,7;87,7;98,0;84,5;92,8;88,5;96,8;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-461;74,9;77,2;98,2;75,1;91,7;77,9;92,7;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-462;81,3;91,1;97,1;82,1;95,2;91,9;109,0;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-463;79,3;80,1;96,3;80,0;84,7;80,9;86,2;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-464;88,5;88,8;98,5;89,3;95,0;89,6;94,8;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-465;86,2;87,7;99,9;87,0;99,9;88,5;102,0;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-466;88,2;90,4;98,9;89,0;96,0;91,2;98,4;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-467;80,9;89,7;98,0;81,6;89,7;90,5;97,6;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-469;97,8;103,4;98,4;97,8;97,8;103,4;103,4;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-47;90,4;93,2;98,2;91,3;101,9;93,9;103,4;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-47000;91,3;93,8;98,2;92,1;103,4;94,7;105,3;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-47001;91,5;92,4;99,2;92,3;101,2;93,2;102,2;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-47002;91,2;94,9;97,6;91,8;105,2;95,6;106,9;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-471;91,8;92,9;99,2;92,7;101,8;93,8;102,5;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-4711;92,0;93,0;99,4;92,9;101,3;93,8;103,4;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-4719;88,2;91,7;96,1;89,0;104,3;92,5;107,0;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-472;88,5;89,0;97,8;89,3;99,0;89,8;99,4;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-473;75,1;82,7;97,5;75,8;88,2;83,5;94,4;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-474;107,9;109,6;100,1;108,3;117,8;110,6;123,7;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-475;91,5;93,8;98,0;92,4;111,4;94,6;111,2;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-476;96,8;99,3;97,7;97,7;96,9;100,0;98,4;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-477;87,0;91,1;97,4;87,5;100,2;91,6;102,0;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-478;62,0;62,6;95,2;62,0;99,4;62,6;99,6;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-479;98,0;105,5;95,3;98,8;110,3;106,5;113,7;0,0;0,0;0,0;0,0
TIIDX-202102;NACEIDX-4791;98,9;107,2;93,1;99,7;110,8;108,2;114,0;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-G;108,4;110,7;99,2;106,2;99,2;108,4;102,3;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-45;121,0;122,4;99,5;117,5;105,2;118,7;108,2;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-451;124,6;126,0;99,8;120,3;106,1;121,6;107,6;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-452;111,1;112,5;99,0;107,1;98,8;108,6;101,1;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-453;104,5;105,7;99,8;101,6;100,8;102,8;102,0;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-454;157,0;159,4;99,4;152,3;112,4;153,9;114,1;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-46;106,8;110,3;99,1;103,6;96,0;106,9;99,9;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-461;99,6;102,0;99,2;97,4;94,2;99,8;97,9;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-462;118,3;129,1;99,1;114,2;96,6;124,5;106,2;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-463;99,3;100,5;97,5;96,8;92,5;98,0;96,6;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-464;110,4;110,7;99,3;107,0;100,0;107,4;100,9;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-465;107,0;108,5;100,5;104,7;100,4;106,1;101,4;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-466;115,9;117,7;99,5;112,0;98,5;113,7;100,3;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-467;102,3;109,6;99,4;99,1;92,1;106,0;98,5;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-469;105,8;110,1;98,7;105,8;105,8;110,1;110,1;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-47;105,5;106,2;99,2;104,2;102,1;105,1;103,0;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-47000;106,6;107,1;99,2;105,3;102,3;105,8;103,3;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-47001;106,2;106,3;99,7;106,9;101,3;106,9;101,8;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-47002;107,0;107,8;98,9;105,8;105,0;106,6;106,7;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-471;107,0;107,0;99,7;108,0;102,3;107,9;102,5;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-4711;107,4;107,4;99,9;108,4;101,8;108,4;103,2;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-4719;100,5;100,4;97,5;98,1;101,7;98,0;102,5;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-472;99,3;99,8;98,5;99,0;98,5;99,5;99,0;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-473;85,3;90,3;98,5;85,0;90,2;90,1;93,4;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-474;109,7;110,4;100,6;109,1;116,1;109,5;118,0;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-475;119,9;121,2;99,9;118,7;116,0;119,9;118,5;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-476;116,0;119,2;98,8;114,1;100,8;117,1;105,0;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-477;98,5;98,7;98,7;97,9;97,8;98,0;99,7;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-478;66,6;66,8;95,1;66,6;91,0;66,8;91,5;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-479;102,6;102,8;97,4;100,2;101,4;100,4;102,3;0,0;0,0;0,0;0,0
TIIDX-202103;NACEIDX-4791;104,8;104,7;96,2;101,9;101,5;102,0;102,6;0,0;0,0;0,0;0,0
