C-A10KJE-0;C-MMW-0;C-PCM2-0;F-PROD4;F-PROD1;F-PROD2;F-PROD3
A10KJE-202501;MMW-3;KJPC2-06;:;:;:;:
A10KJE-202501;MMW-3;KJPC2-07;:;:;:;:
A10KJE-202501;MMW-3;KJPC2-08;58599,1;56266,3;56266,3;56323,8
A10KJE-202501;MMW-3;KJPC2-09;3963,8;3963,8;3963,8;3963,8
A10KJE-202501;MMW-3;KJPC2-10;1715149,7;1760135,8;1760135,8;1752282,5
A10KJE-202501;MMW-3;KJPC2-11;844812,7;255371,4;255371,4;852184,3
A10KJE-202501;MMW-3;KJPC2-13;113541,6;81764,5;81823,1;94782,2
A10KJE-202501;MMW-3;KJPC2-14;50554,4;16809,4;16809,4;51064,6
A10KJE-202501;MMW-3;KJPC2-15;46197,1;15945,3;15945,3;41197,1
A10KJE-202501;MMW-3;KJPC2-16;635267,9;638293,1;638293,1;643669,1
A10KJE-202501;MMW-3;KJPC2-17;583861,2;585048,4;617345,4;584544,7
A10KJE-202501;MMW-3;KJPC2-18;108034,5;95319,6;95319,6;94472,2
A10KJE-202501;MMW-3;KJPC2-19;388004,2;601366,5;601366,5;601366,5
A10KJE-202501;MMW-3;KJPC2-20;731974,7;657809,2;694806,5;732499,3
A10KJE-202501;MMW-3;KJPC2-21;375468,0;452602,3;456374,6;370098,0
A10KJE-202501;MMW-3;KJPC2-22;544933,4;564280,1;564280,1;562304,9
A10KJE-202501;MMW-3;KJPC2-23;300118,3;321420,3;321420,3;320660,3
A10KJE-202501;MMW-3;KJPC2-24;1804688,0;1768778,7;2326019,4;1763779,0
A10KJE-202501;MMW-3;KJPC2-25;1177045,4;1087250,3;1087250,3;1056861,6
A10KJE-202501;MMW-3;KJPC2-26;767200,7;681921,6;681921,6;768370,1
A10KJE-202501;MMW-3;KJPC2-27;845238,6;809905,3;809905,3;830289,9
A10KJE-202501;MMW-3;KJPC2-28;1635436,7;1644331,3;1644331,3;1652604,4
A10KJE-202501;MMW-3;KJPC2-29;1271143,8;1238764,5;1238764,5;1236496,6
A10KJE-202501;MMW-3;KJPC2-30;275615,1;244711,0;244711,0;251934,9
A10KJE-202501;MMW-3;KJPC2-31;165637,6;165472,3;165472,3;166237,5
A10KJE-202501;MMW-3;KJPC2-32;251940,7;240661,2;240661,2;251677,0
